,link,max_salary,min_salary,site,title
59,https://www.superjob.ru/vakansii/rabochij-po-blagoustrojstvu-i-ozeleneniyu-33588478.html,60000руб.,,https://www.superjob.ru,Рабочий по благоустройству и озеленению
60,https://www.superjob.ru/vakansii/rabochij-mebelnogo-proizvodstva-30026685.html,,50000руб.,https://www.superjob.ru,Рабочий мебельного производства (участок присадки) / Оператор сверлильно-присадочного станка
61,https://www.superjob.ru/vakansii/kladovschik-otk-31690802.html,,40000руб.,https://www.superjob.ru,Кладовщик ОТК / Рабочий производства
62,https://www.superjob.ru/vakansii/podsobnyj-rabochij-25078495.html,28900руб.,28900руб.,https://www.superjob.ru,Подсобный рабочий (грузчик)
63,https://www.superjob.ru/vakansii/podsobnyj-rabochij-33941446.html,,41200руб.,https://www.superjob.ru,Подсобный рабочий
64,https://www.superjob.ru/vakansii/kuhonnyj-rabochij-33854149.html,30000руб.,27500руб.,https://www.superjob.ru,"Кухонный рабочий, посудомойщик"
65,https://www.superjob.ru/vakansii/kuhonnyj-rabochij-33390943.html,,19000руб.,https://www.superjob.ru,Кухонный рабочий
66,https://www.superjob.ru/vakansii/podsobnyj-rabochij-33913942.html,35000руб.,30000руб.,https://www.superjob.ru,"Подсобный рабочий, мастер мебельного цеха"
67,https://www.superjob.ru/vakansii/rabochij-na-mebelnoe-proizvodstvo-32459232.html,,30000руб.,https://www.superjob.ru,Рабочий на мебельное производство
68,https://www.superjob.ru/vakansii/rabochij-na-zavod-32771317.html,,40000руб.,https://www.superjob.ru,Рабочий на завод (с обучением)
69,https://www.superjob.ru/vakansii/inzhener-po-tehnicheskoj-podderzhke-rabochih-mest-33911696.html,,,https://www.superjob.ru,Инженер по технической поддержке рабочих мест
70,https://www.superjob.ru/vakansii/rabochij-v-ceh-33879231.html,,41600руб.,https://www.superjob.ru,Рабочий в цех
71,https://www.superjob.ru/vakansii/podsobnyj-rabochij-33772304.html,,50000руб.,https://www.superjob.ru,Подсобный рабочий
72,https://hhcdn.ru/click?b=187957&place=35,,50000руб.,https://hh.ru,Электромонтажник
73,https://spb.hh.ru/vacancy/37383665?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Инженер-программист АСУ ТП
74,https://spb.hh.ru/vacancy/37396779?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,40000руб.,https://hh.ru,Менеджер по кадровому администрированию
